sequence,open_time_china,close,ema9,ema26,crossover_type,price_diff_abs,prev_crossover_time
4,2025-07-04 00:30:00,2572.12,2584.518156404817,2585.736467344431,死叉,132.55999999999995,2025-07-02 12:30:00
16,2025-07-12 06:00:00,2931.58,2974.7755235240083,2978.371237520836,死叉,379.42999999999984,2025-07-08 13:30:00
24,2025-07-19 00:00:00,3572.46,3586.3306558532413,3587.935349420886,死叉,541.4499999999998,2025-07-15 21:00:00
30,2025-07-22 02:00:00,3787.68,3789.2899280099878,3789.349145193135,死叉,210.0699999999997,2025-07-20 03:30:00
57,2025-08-03 13:00:00,3452.69,3437.0948939575846,3434.8160572953093,金叉,348.8600000000001,2025-07-31 21:00:00
58,2025-08-05 13:00:00,3658.49,3666.7509241604585,3667.744050353859,死叉,205.79999999999973,2025-08-03 13:00:00
66,2025-08-10 13:30:00,4220.54,4243.042524172924,4243.721610372997,死叉,583.3699999999999,2025-08-06 22:30:00
74,2025-08-14 19:00:00,4707.53,4732.751776472067,4734.56567494003,死叉,413.6199999999999,2025-08-12 10:00:00
85,2025-08-19 01:00:00,4353.62,4325.637069953188,4325.137067360957,金叉,126.0600000000004,2025-08-18 03:00:00
95,2025-08-22 22:00:00,4576.32,4337.487587323197,4305.6636795320865,金叉,346.39999999999964,2025-08-22 20:00:00
96,2025-08-23 19:30:00,4704.93,4718.874542125046,4721.039913629795,死叉,128.61000000000058,2025-08-22 22:00:00
101,2025-08-26 20:30:00,4497.24,4438.524534251332,4436.24448651077,金叉,232.21000000000004,2025-08-25 06:00:00
105,2025-08-30 13:00:00,4375.58,4349.436123736497,4347.264955835973,金叉,140.8800000000001,2025-08-28 23:00:00
130,2025-09-13 23:00:00,4680.83,4701.646101479336,4702.961539345315,死叉,321.0,2025-09-11 08:30:00
151,2025-09-23 14:30:00,4205.56,4187.6598403061125,4186.679048771875,金叉,252.0699999999997,2025-09-22 06:00:00
159,2025-09-26 11:30:00,3965.32,3941.5430483279615,3940.5009923634716,金叉,197.57999999999947,2025-09-25 03:00:00
168,2025-09-30 16:00:00,4177.71,4188.131901100928,4188.15031582903,死叉,153.07000000000016,2025-09-28 22:30:00
174,2025-10-03 16:00:00,4449.38,4469.992588176038,4470.386300484185,死叉,283.1300000000001,2025-10-01 16:00:00
182,2025-10-07 16:30:00,4670.36,4677.467925175095,4678.220246040707,死叉,132.03999999999996,2025-10-06 10:30:00
189,2025-10-12 12:30:00,3801.9,3770.0348391026973,3769.3278570067773,金叉,542.5899999999997,2025-10-10 12:30:00
190,2025-10-13 19:30:00,4080.39,4125.489500096675,4128.51183070719,死叉,278.4899999999998,2025-10-12 12:30:00
